公司統一編號,公司名稱,分公司統一編號,分公司名稱,Address,分公司狀態,分公司核准設立日期,分公司最後核准變更日期,Longitude,Latitude
16740494,全聯實業股份有限公司,24807618,北投吉利分公司,臺北市北投區吉利街125號1樓,1,1050224,       ,121.5067669,25.1189694
16740494,全聯實業股份有限公司,24807624,三民大昌二分公司,高雄市三民區大昌二路146號,1,1050223,1130703,120.33235,22.644329
16740494,全聯實業股份有限公司,24807722,高雄和平分公司,高雄市苓雅區和平一路218號地下一層,3,1050225,       ,120.3178748,22.6308988
16740494,全聯實業股份有限公司,24807791,大園和平分公司,桃園市大園區和平東路65號,1,1050226,1131105,121.1998459,25.0618435
16740494,全聯實業股份有限公司,24808692,高雄大樹分公司,高雄市大樹區新鎮路850、858、866號,1,1050316,       ,120.4174241,22.6574441
16740494,全聯實業股份有限公司,24808829,大甲民生分公司,臺中市大甲區民生路13號1樓,1,1050318,1110314,120.626825,24.346505
16740494,全聯實業股份有限公司,24808948,台中廣三分公司,臺中市西區臺灣大道2段459號13樓,3,1050321,1050817,120.6620611,24.1552514
16740494,全聯實業股份有限公司,24809209,嘉義中埔分公司,嘉義縣中埔鄉和美村司公廍73-1、73-2、73-3、73-4號,1,1050328,1070122,120.4820213,23.4523086
16740494,全聯實業股份有限公司,24809236,淡水沙崙分公司,新北市淡水區大庄里沙崙路50號,1,1050328,1100414,121.419332,25.186893
16740494,全聯實業股份有限公司,24809257,台中松五分公司,臺中市北屯區松竹五路二段180、182、186號,1,1050328,1130905,120.713492,24.1771377
16740494,全聯實業股份有限公司,24809453,林口復興分公司,桃園市龜山區文化里復興一路8號B1,3,1050331,1101103,121.3697521,25.0602218
16740494,全聯實業股份有限公司,24809469,中正南海分公司,臺北市中正區永昌里南海路100號、102號、102號地下,1,1050331,1111006,121.5082859,25.0281485
16740494,全聯實業股份有限公司,24809593,台南育安分公司,臺南市安南區育安街116、120號,1,1050406,1051109,120.2156757,23.0475153
16740494,全聯實業股份有限公司,24809828,內湖文德分公司,臺北市內湖區文德路212號地下1層,1,1050412,1120608,121.5839876,25.0782428
16740494,全聯實業股份有限公司,24809926,鳳山經武分公司,高雄市鳳山區經武路375、377號,1,1050414,1110905,120.3641059,22.6401932
16740494,全聯實業股份有限公司,24810070,松山民有分公司,臺北市松山區民權東路3段140巷15號,1,1050627,1110408,121.5408718,25.0624386
16740494,全聯實業股份有限公司,24810108,大安民榮分公司,臺北市大安區仁愛路3段24巷12號,1,1050628,1070314,121.5356176,25.0351624
16740494,全聯實業股份有限公司,24810698,士林蘭雅分公司,臺北市士林區蘭雅里德行東路109巷104號,1,1050713,1120309,121.5289077,25.1109832
16740494,全聯實業股份有限公司,24810769,員林員集分公司,彰化縣員林市中央里員集路2段269、271號,1,1050718,1110310,120.5761045,23.9421734
16740494,全聯實業股份有限公司,24810796,永靖中山分公司,彰化縣永靖鄉港西村永社路291號,1,1050714,1051025,120.5458516,23.9169431
16740494,全聯實業股份有限公司,24810846,中正同安分公司,臺北市中正區板溪里南昌路2段112號地下1樓,1,1050715,1110407,121.5220567,25.0257837
16740494,全聯實業股份有限公司,24811161,竹南公義分公司,苗栗縣竹南鎮大埔里公義路1146號,1,1050725,1130704,120.9021025,24.7121027
16740494,全聯實業股份有限公司,24811649,文山景美分公司,臺北市文山區景慶里羅斯福路六段218號地下1層,1,1050801,1131001,121.5405316,24.9930606
